REGION,TECHNOLOGY,VALUE
GLOBAL,RNWTRNHNDXX,31.536
GLOBAL,RNWTRNHTIXX,31.536
GLOBAL,RNWTRNJAMXX,31.536
GLOBAL,RNWTRNMEXXX,31.536
GLOBAL,RNWTRNNICXX,31.536
GLOBAL,RNWTRNPANXX,31.536
GLOBAL,RNWTRNPERXX,31.536
GLOBAL,RNWTRNPRYXX,31.536
GLOBAL,RNWTRNSLVXX,31.536
GLOBAL,RNWTRNURYXX,31.536
GLOBAL,TRNARGXXBOLXX,31.536
GLOBAL,TRNARGXXBRAXX,31.536
GLOBAL,TRNARGXXCHLXX,31.536
GLOBAL,TRNARGXXPRYXX,31.536
GLOBAL,TRNARGXXURYXX,31.536
GLOBAL,TRNBOLXXBRAXX,31.536
GLOBAL,TRNBOLXXCHLXX,31.536
GLOBAL,TRNBOLXXPERXX,31.536
GLOBAL,TRNBOLXXPRYXX,31.536
GLOBAL,TRNBRAXXCOLXX,31.536
GLOBAL,TRNBRAXXPERXX,31.536
GLOBAL,TRNBRAXXPRYXX,31.536
GLOBAL,TRNBRAXXURYXX,31.536
GLOBAL,TRNCHLXXPERXX,31.536
GLOBAL,TRNCOLXXECUXX,31.536
GLOBAL,TRNCOLXXPANXX,31.536
GLOBAL,TRNCOLXXPERXX,31.536
GLOBAL,TRNCRIXXNICXX,31.536
GLOBAL,TRNCRIXXPANXX,31.536
GLOBAL,TRNDOMXXHTIXX,31.536
GLOBAL,TRNECUXXPERXX,31.536
GLOBAL,TRNGTMXXHNDXX,31.536
GLOBAL,TRNGTMXXMEXXX,31.536
GLOBAL,TRNGTMXXSLVXX,31.536
GLOBAL,TRNHNDXXNICXX,31.536
GLOBAL,TRNHNDXXSLVXX,31.536
GLOBAL,TRNNLIARGXX,31.536
GLOBAL,TRNNLIBOLXX,31.536
GLOBAL,TRNNLIBRAXX,31.536
GLOBAL,TRNNLICHLXX,31.536
GLOBAL,TRNNLICOLXX,31.536
GLOBAL,TRNNLICRIXX,31.536
GLOBAL,TRNNLIDOMXX,31.536
GLOBAL,TRNNLIECUXX,31.536
GLOBAL,TRNNLIGTMXX,31.536
GLOBAL,TRNNLIHNDXX,31.536
GLOBAL,TRNNLIHTIXX,31.536
GLOBAL,TRNNLIJAMXX,31.536
GLOBAL,TRNNLIMEXXX,31.536
GLOBAL,TRNNLINICXX,31.536
GLOBAL,TRNNLIPANXX,31.536
GLOBAL,TRNNLIPERXX,31.536
GLOBAL,TRNNLIPRYXX,31.536
GLOBAL,TRNNLISLVXX,31.536
GLOBAL,TRNNLIURYXX,31.536
GLOBAL,TRNRPOARGXX,31.536
GLOBAL,TRNRPOBOLXX,31.536
GLOBAL,TRNRPOBRAXX,31.536
GLOBAL,TRNRPOCHLXX,31.536
GLOBAL,TRNRPOCOLXX,31.536
GLOBAL,TRNRPOCRIXX,31.536
GLOBAL,TRNRPODOMXX,31.536
GLOBAL,TRNRPOECUXX,31.536
GLOBAL,TRNRPOGTMXX,31.536
GLOBAL,TRNRPOHNDXX,31.536
GLOBAL,TRNRPOHTIXX,31.536
GLOBAL,TRNRPOJAMXX,31.536
GLOBAL,TRNRPOMEXXX,31.536
GLOBAL,TRNRPONICXX,31.536
GLOBAL,TRNRPOPANXX,31.536
GLOBAL,TRNRPOPERXX,31.536
GLOBAL,TRNRPOPRYXX,31.536
GLOBAL,TRNRPOSLVXX,31.536
GLOBAL,TRNRPOURYXX,31.536
